gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Skin-Small Intestine)	pct_gene_expr	max_pct_tx_expr
SLC25A36	0.007114105660378726	0.0013043333854202675	6	1	0.4491991779980429	1	1
PATL1	9.488385134833762e-5	1	9	0	0.4491364130657653	1	1
EIF2B3	0.01582627782718321	0.09432264259754854	3	0	-0.4472292511960476	1	1
NFAT5	0.03379031952330071	0.001376185803904852	7	1	0.4468809074030512	1	1
LOC113265298	8.492918957480074e-4	0.024521857377861198	5	1	-0.4459226755368104	1	1
XRN2	0.02933809710244422	1	6	0	0.4451505603863627	1	1
LRRCC1	1.0003302272979497e-4	5.883518777568859e-4	5	1	0.4426627205490201	1	1
LOC113257132	0.039116839339840836	0.09422238818551683	3	0	0.44133476258591176	1	1
RAI14	0.007163460016686963	0.056630340496428754	11	0	0.4382189415977115	1	1
MYL6	4.5879600174909006e-6	0	2	2	-0.43658206790015364	1	1
GPATCH2	0.017233223139707154	0.04524454876498438	4	1	0.43653358850353374	1	1
POLG	0.03537285170614391	1	6	0	-0.43437376349614076	1	1
RC3H2	0.021359473049809903	0.008360739068607624	3	1	-0.4337279869252006	1	1
TMED10	0.01715884621007218	0	2	2	0.4328798370217496	1	1
BLNK	0.004075704765175717	1	7	0	0.4324522032237822	1	0.75
AGFG1	0.001500740918571631	0.031124380704961218	4	1	-0.42728497743077953	1	1
ACPP	0.008007215465954044	0.0042573908522450235	5	2	-0.42684788404287466	1	1
RAB27A	0.01551972439040775	1	5	0	-0.4250882890473421	1	0.75
RNF111	0.03328437646911461	0.8934681642455525	9	0	0.42383929444997576	1	1
CYTB	9.710024823869935e-4	4.7567096229047524e-5	3	1	0.4236694381020496	1	1
CUNH17orf49	0.018536372572005837	0.003423431356586679	5	1	0.42359633166669536	1	1
ARHGEF2	0.025558150101864237	1	8	0	0.42295194187899987	1	1
KIF1B	0.019019312104876767	0.011584371512939565	4	1	0.4225296721072379	1	1
HPGD	0.01222597223066535	0.6088266726825867	3	0	0.42244064519573027	1	1
MBD6	0.04089510597180229	0.5912562674902664	5	0	0.42194153370825055	1	1
GPR137	0.00227082722612126	0.19822677276174608	5	0	0.42178040379896786	1	1
LOC113247645	1.469094769089586e-8	3.9307415147571184e-7	7	2	0.42065477466940304	1	1
LOC113265899	0.014221133193601423	0.001077169199483564	3	1	0.4189051727513	1	1
FGFR3	0.024067575278687824	0.0029457738316069704	9	1	0.41754094604895586	1	1
PTPRB	0.001595360964821804	0.013217936271285879	3	2	-0.41618502603631535	1	1
FAM120B	0.0341643722113745	1	9	0	0.41360287814240554	1	1
FRS2	9.524642038842532e-4	2.710183478852906e-4	6	1	0.41339172317322764	1	1
TMEM170A	0.028142095249199358	0.4345934943787965	8	0	0.412694084208755	1	1
CRY2	0.008771981897472353	1	9	0	0.41236592653900445	1	1
SGK1	0.0072722076421823465	6.999667378706024e-4	15	1	0.4115168450464727	1	1
MYH10	0.005384843287553784	1	5	0	-0.4104431755850899	1	1
EXOC1	3.6224185903882615e-4	1.1489584586024161e-5	7	1	0.4101725285190219	1	1
DUSP22	0.041689687524129264	1	6	0	0.409853335324671	1	1
FAM208B	3.6224185903882615e-4	0.01399292537443784	6	1	-0.4090847949694221	1	1
PRPF38B	0.04161802755507911	0.6088343588970802	8	0	0.40787684124364654	1	1
INTS10	0.016422788667423437	1	9	0	0.40750418141451633	1	1
KRT80	0.001106108475563087	0.086736775665863	5	0	-0.40646689048238427	1	1
DYNC1LI2	0.04709013386525445	0.05114538047632226	5	0	0.40475086414813577	1	1
AP1G2	7.070723173723496e-4	0.040603445789097956	8	1	0.4027717099133026	1	1
ARHGAP17	0.003733345412567039	0.09461733440311194	11	0	0.4023075172215627	1	1
THY1	6.25545519633614e-4	1.643006111321396e-5	3	2	-0.40178834718105094	1	1
PRDX5	0.03369734221998457	0.003862728639861037	3	1	0.4013492432879877	1	1
DDB2	0.0359729480582009	0.030406742534151637	6	1	0.4011008649567895	1	1
LOC113262832	0.024249216555644507	0.10930881639391844	6	0	-0.39956563206992934	1	1
LOC113263286	0.02075415036998223	1	3	0	0.39882283336979124	1	1
RHBDD3	0.038166323339114405	1	9	0	-0.3970410651283751	1	0.75
GCLC	0.024467017902972885	1	6	0	0.39685267491822346	1	1
WTAP	0.0018805731172150122	0.018130660938849692	10	1	0.39616593486440205	1	1
ERBIN	0.034526834803720236	0.002426363574665894	6	1	0.39596682965827584	1	1
ACOX1	0.013946856728547214	0.002882944656849359	7	1	-0.39529495779451046	1	1
GPAT3	0.0341357477224786	0.1636054370762395	5	0	-0.39499500005592847	1	0.75
NKAPD1	0.011119025228857668	0.3587913532758664	5	0	-0.39361333148174443	1	1
MCTP1	0.017137893183274844	0.026141424739524948	4	1	0.3917039625425857	1	1
ACSL1	7.028015361672539e-5	1	18	0	0.3906835826582898	1	0.75
ZNF529	0.006681303498897781	0.08805957114051856	9	0	-0.38859324384165267	1	1
LOC113251315	4.7661178044760985e-4	0.0024925385631843107	11	2	0.3855296778419044	1	1
CALD1	0.0012730070087517524	0.011595579110566917	11	1	-0.38448833523674314	1	1
LOC113262216	0.03974541056399153	0.2780039853461507	7	0	-0.3843156480843109	1	1
CHD9	4.7661178044760985e-4	0.02262567122186531	8	2	0.3841921228287396	1	1
HSD11B1	0.0026243478998365837	1	8	0	0.3840542735450102	1	1
CHMP4C	0.0011649789512704586	0.19678017067357018	3	0	-0.3820613644002796	1	1
DMD	5.766585774504425e-8	0.04879762944799526	11	1	-0.3807446360500921	1	1
UTP20	0.01940887191681815	0.003396550870076346	3	1	0.3807251156199195	1	1
LMO7	2.2265606417083125e-4	1	10	0	0.3800495366415048	1	1
MAP3K3	0.03267583710365981	0.006336333375772339	3	1	-0.37746650686434424	1	1
CEP164	0.022643959942815588	1	6	0	-0.3767674203825099	1	1
ANAPC1	0.018510956641927492	1	5	0	0.3758407647756875	1	1
EXOC6	0.025139535874953923	1	11	0	0.37563098678591145	1	1
COL6A3	0.044693359215859985	0.061996444127695644	7	0	-0.3746642024516841	1	1
PIGN	0.0016121659968820453	0.045445511712511835	5	1	0.37448611608258997	1	1
PAK1	0.043660605274355134	0.017163851284983378	5	1	-0.3741535110550906	1	1
LRRK1	0.028906302529647605	0.13135501900763855	4	0	0.37389813202794153	1	1
AKAP13	1.8890663349614283e-5	0.0010575119674230272	11	1	0.373103531003794	1	1
SMTN	0.0011974753251308408	0.05471811080360387	10	0	0.37248451419726997	1	1
FUBP1	0.03154204542757869	0.5758419343844272	11	0	0.37192047446249565	1	1
LOC113256813	0.015401535373540136	0.9429848962652033	5	0	0.3715954488665965	1	1
NDUFAF4	0.041689687524129264	0.6267586043108053	3	0	0.37027645929264436	1	1
IPO11	0.008589837298575155	0.7258388572416342	14	0	0.36557477920617815	1	1
THRB	0.0026446149983343167	1	13	0	0.3654851395556565	1	1
KTN1	6.29712955753909e-5	0.03917413868448144	12	1	0.3634967496032466	1	1
GAB1	4.6885859243937744e-7	0.15906269798014178	4	0	0.363046893535417	1	1
EIF4A2	4.280634035549377e-5	0.005944422591391717	8	2	-0.36268787255380613	1	1
SHC1	2.625875464131007e-4	0.0057851682978700926	9	1	-0.3623251889943899	1	1
SEPT8	0.0044056750652993245	0.4020659220411543	7	0	-0.36205340255501484	1	1
ZNF620	0.010152839694721303	1	8	0	-0.36193779406925564	1	1
IL13RA1	0.0426081226010757	0.07759084465606915	8	0	0.36055024926551527	1	1
PPFIBP1	0.0019215746090742371	0.11013307479106813	12	0	0.36042222314802325	1	1
TDO2	0.007199501145582955	1	11	0	-0.36029984722691494	1	0.75
ZFP90	0.006681303498897781	0.6393584265877604	7	0	-0.3599458558241847	1	1
NCALD	0.04173607968344502	1	8	0	0.35934571721762276	1	1
SOS2	0.0036824405146238066	0.29763999006165615	3	0	-0.35493647173854925	1	1
RAPGEF3	0.016084809942860375	1	12	0	-0.35362725969310926	1	1
NIPBL	0.0013456334445252683	3.787097487835098e-4	6	1	0.3521737394815005	1	1
TSTD2	0.041689687524129264	0.043641249117638246	4	1	0.35217145868516736	1	1
MMP11	0.035125027997346396	1	6	0	0.34980427088538296	1	1
RAB3GAP1	0.02439369641707413	0.44610995513120055	8	0	0.3492866030772013	1	1
ARL15	0.041689687524129264	0.20940866133110844	9	0	0.3477909235657597	1	1
NF1	0.003197469726574955	1	7	0	-0.3471259874609535	1	1
RORC	1.486977878257675e-4	0.004958061467610759	6	1	0.3471099989298765	1	1
LCORL	0.02360936806993485	0.29860631122271375	9	0	0.3468397938987496	1	1
NCL	0.0341643722113745	0.5051357100088184	7	0	-0.3448960695260956	1	1
DESI1	0.03328437646911461	1	6	0	-0.34442701727297265	1	1
ELMO1	3.6224185903882615e-4	1	9	0	-0.34393351957828155	1	1
DNM2	8.019433005851838e-4	0.0015946447671270866	8	1	-0.34352595830657223	1	1
TCF12	3.3623368994941524e-8	1.7813565104708332e-11	6	1	0.3432195675470051	1	1
UBAP2L	0.02529870485240219	1	15	0	0.34320204030194407	1	1
LOC113250606	0.041689687524129264	1	14	0	-0.3423923328888405	1	1
ABL2	0.030348662222986076	0.21304713599785974	6	0	0.34012148287047056	1	1
CD99	0.007618209720266754	0.02267128573443108	5	1	0.3391482352664097	1	1
TAB2	0.004971378765833167	0.0017617519940009794	5	1	-0.339133730365977	1	1
SLC5A6	0.010563810667995907	0.251054917755781	15	0	-0.338762184936408	1	1
ATP11B	0.027364121012124154	0.028172563012248058	6	1	0.3380416020881332	1	1
PPT2	0.044675430654674025	1	9	0	-0.3373432285579525	1	1
APPL2	0.028906302529647605	0.2880397460320237	13	0	0.337332334557306	1	1
SLC6A6	5.556107376564223e-4	0.0012529579160387432	5	1	0.33722656479862084	1	1
KDM4A	0.008099576964026228	1	9	0	0.3362621928436073	1	1
PDLIM7	0.012989863273180491	0.08317770612935999	10	0	-0.3359096577213493	1	1
DNAJC3	1.6961270756140008e-5	0.0024030919340451693	5	1	-0.3356782768465064	1	1
PDE3A	0.0043006170383169786	0.22080536677964768	5	0	0.3351534924930494	1	1
POSTN	0.03946763912006857	0.11109605023009182	9	0	-0.33510112680756854	1	1
TRABD	0.0016121659968820453	0.1187726451368045	9	0	-0.3349423010815326	1	1
NR1D1	0.030348662222986076	1	8	0	0.33187015591135927	1	1
LRRC8B	0.03946763912006857	1	3	0	-0.33140396008822826	1	1
ALKBH3	0.008099576964026228	0.5646266021128272	6	0	0.3305700072111036	1	1
ZNF516	0.008176414474243915	0.5766499277863579	4	0	-0.33005660799433323	1	1
ADNP2	0.03480341945787014	0.0061888535354607055	3	1	-0.3295524951337474	1	1
VIRMA	1.2988639155754695e-5	1	11	0	0.3291248462361709	1	1
KCTD15	0.001073451483245662	0.27249406483486976	7	0	0.3285441249998684	1	1
SENP6	0.032915041474832235	0.38018087234969916	9	0	0.3282951837680971	1	1
EMC1	1.7173095663343535e-4	0.0675005711682787	8	0	0.3282259787064939	1	1
CHIC2	8.685528424083029e-5	3.5383372134808e-4	8	1	0.3282199445977987	1	1
APC	0.04853365390295697	0.6532011511240672	7	0	-0.32801797487568884	1	1
LRBA	0.043363232058590905	1	10	0	0.32794887025949165	1	1
GNL2	0.04313224088960825	0.9197115806498954	7	0	-0.3268741753429523	1	1
DHDDS	0.014409353554704876	0.9290945917423193	8	0	0.32510890578497675	1	1
LOC113258953	0.04899146108339569	0.2966172395271618	4	0	-0.32412339639845655	1	1
RASGRP3	0.01337341773724685	1	5	0	0.3233081874296715	1	1
EFCAB14	8.540904260275007e-5	0.18515722842912302	8	0	0.3229217722262594	1	1
LOC113246291	0.0341643722113745	1	10	0	0.32190091291834566	1	1
LOC113248518	1.6115032166673585e-4	1	16	0	0.320857232734932	1	1
TRIP4	0.01940887191681815	1	6	0	0.3184991852966522	1	1
ATL2	0.014829254208545719	0.04469091741876775	9	1	0.31765759752891903	1	1
CERS5	0.040600485881163224	1	8	0	0.3173915188015523	1	1
GORASP1	1.0056846332482599e-4	4.448693173186988e-5	7	2	0.3162361551859799	1	1
PNP	0.01715884621007218	0.0015165476190794466	3	1	0.31570086177505274	1	1
PSMD14	0.0010008576057598487	1	6	0	-0.31518846706858106	1	1
KMT2E	0.003159100272211376	0.1480378893753946	6	0	0.3149934100404134	1	1
SPSB3	0.03476192564391876	0.48568562460677567	7	0	-0.314683668757797	1	1
EHBP1	2.2490673642900605e-8	0.1093639716473092	12	0	0.3121437612518271	1	1
RCBTB2	0.007879008571058357	1	11	0	-0.3102636918405885	1	1
ZMYM5	0.013467207403260673	1	13	0	-0.3089979253686688	1	0.75
FKBP5	0.03379031952330071	0.23839845354904327	7	0	0.30767162501197687	1	1
TTLL12	0.037346420655047216	1	5	0	-0.3070181898821462	1	1
SON	1.7470970013728972e-4	0.001964229719159139	9	1	0.3058912348643479	1	1
HTRA3	0.037346420655047216	0.7967293203468596	4	0	-0.3051703258423466	1	1
MBNL2	0.03730367132949488	1	12	0	0.30481195449075277	1	1
IRF9_REC8	3.6224185903882615e-4	0.012644926456126386	9	1	0.3047300753717148	1	1
HELQ	0.034104347633489025	1	7	0	-0.30426403892390336	1	1
RNF152	3.811065114944513e-6	0.35321926061638703	6	0	0.3039488105106391	1	1
PDGFC	0.001531095971985748	0.7066721641535685	4	0	0.3029079839753652	1	1
OLFML2B	7.070723173723496e-4	1	4	0	0.3024617708855546	1	1
RBBP6	0.003595860946663579	1.5875901076089683e-4	3	1	0.30234380515528025	1	1
TIAL1	0.015114020468775484	0.2750316450308725	10	0	0.3019389239035311	1	1
RBM12B	2.515629201993591e-4	1	11	0	0.29998092283884187	1	1
IRAK4	0.004992806520721809	0.27948912660771613	16	0	-0.2994745504715544	1	1
LOC113261047	0.029801453934319655	0.02118495024830835	7	1	-0.2988358560500902	1	1
ACIN1	0.021193985439113012	0.02047104442006099	13	1	-0.2980329620992847	1	1
ADK	0.002821777254423437	1	11	0	-0.2979691424260782	1	1
BLMH	0.04899146108339569	1	7	0	0.2975309253000096	1	1
OPTN	0.041689687524129264	0.020167087736936325	8	1	0.2970402630996467	1	1
RNF6	0.021240709293514765	0.00894897352760139	9	1	0.29403362047989035	1	1
WDR19	0.008176414474243915	0.4203525865693692	8	0	-0.2936344349805554	1	1
