gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Liver-Stomach)	pct_gene_expr	max_pct_tx_expr
KNG1	1.7069721624941097e-7	2.773390297034607e-5	8	1	-0.6748190622308066	1	1
ACSL5	0.01545270613921118	1	5	0	0.6698614384649245	1	1
KIAA1147	0.0012696935021685428	0	2	2	-0.6613519750753957	1	1
NOCT	0.030631843429971932	1	5	0	0.6583245015306946	1	1
LOC113244749	0.013915872047150172	0.08449847255080971	3	0	-0.6567362464070261	1	1
KPNA3	0.02174344804579619	0.041184348631412265	3	1	0.6562599163805948	1	1
MAST4	0.018402877522650452	0.020136081882700732	4	1	0.6479225772223237	1	1
UBXN8	0.016731040750423903	0.053062768790896206	4	0	-0.6469081374975585	1	1
BAIAP2	0.030631843429971932	0.015252864579035817	5	1	0.6444602426618334	1	1
LOC113260144	0.03764178192964613	1	3	0	-0.6399484814190972	1	0.75
F7	0.0015646016637016306	1	6	0	0.6356940151823871	0.75	0.75
EPSTI1	0.009625686878121565	0.4143926424970181	5	0	-0.6350354069511737	1	1
LOC113259624	8.312104998891634e-4	0.022723716145372972	7	1	-0.634935195716043	1	0.75
SLC7A2	8.888115989512191e-7	2.9191495465263027e-6	6	2	-0.6277443769653613	1	1
RCL1	2.9855422274793696e-12	1	12	0	0.6270776939156772	1	1
PDE3A	6.598632594924076e-7	8.924653701520787e-4	4	2	-0.626518850702926	1	1
AMDHD1	0.007072319626408665	1	7	0	0.6259916715593026	1	1
LOC113252104	0.016729440391052983	0.037323132770426266	7	1	-0.6240160386667012	1	1
PDE1C	0.0027173349218584204	0.005262444489611134	5	1	0.6164268982381099	1	1
PRDM4	0.011045734555369606	0.10913033650629092	5	0	0.6116684118659158	1	1
AFAP1	0.02923751460944596	0.10223285039307452	4	0	0.6107373749182017	1	1
HLF	0.007072319626408665	0.18299918630534334	5	0	0.6026084906515025	1	1
TPM1	0.04606229625948902	0.5823702097778767	7	0	-0.5999716037660572	1	1
LRRC8A	8.678676105910385e-4	0.02128991692004222	4	1	0.5914780363743798	1	0.75
ZNF229	0.03764178192964613	0.13454382255629924	5	0	0.5900754644600782	1	1
SUSD6	7.221401359474498e-4	0.007399257091292278	8	1	0.5877483780578662	1	1
ABCG2	3.3790534396312196e-8	0.005519436500559092	10	1	-0.582224690502025	1	1
TTI2	0.02394082891579485	1	10	0	0.5816566800844748	1	0.75
FBF1	0.011336425512308058	0.5015212521543372	6	0	0.5788577819196608	1	0.75
SLC27A5	1.5725313518835787e-5	0.013647370467443033	9	1	0.5730612838329855	1	1
HSD17B6	0.04624602261487007	0.291857102364517	9	0	-0.5726868641278918	1	0.75
HMBS	5.062647820365344e-4	0.01097308904977479	7	1	-0.5725416708266139	1	1
MIS12	0.02394082891579485	1	7	0	0.5717125802279462	1	1
EHMT2	0.009382273211294293	0.05693663231934333	7	0	-0.568037370995359	1	1
TNKS1BP1	4.1372457128824393e-10	1.0935385451274448e-10	3	2	-0.5662865105030233	1	1
PFKFB1	0.0031124222084126397	0.10362390398517587	12	0	-0.5635888550805557	1	0.75
SLC22A3	0.012867484582875587	1	6	0	0.5612365116431843	1	1
LOC113248320	0.008886582411471057	1	8	0	0.547968889779101	1	0.75
ACACB	0.0010118095386573796	0.5717243054910667	9	0	-0.5478772701598228	1	1
PLEKHA4	0.03764178192964613	0.535465762612373	4	0	0.5456952876338708	1	1
LOC113245456	0.04401511973649589	1	8	0	0.5456859779281712	1	1
COL18A1	4.3355632442030486e-11	7.71550679316005e-8	9	2	-0.5428824300038294	1	1
RNF125	2.3155288660754643e-4	1	10	0	0.5420799767802092	1	1
LOC113255096	0.03479093893645933	1	4	0	-0.5397889015310897	1	1
AXL	0.02394082891579485	0.3079478627166675	4	0	0.5182266214878858	1	1
TATDN2	0.03479093893645933	0.07035377774829721	4	0	-0.5088626444448927	1	1
FPGS	3.077903260370609e-4	0.25586315505329094	4	0	0.5074725293250938	1	1
PHYKPL	0.04029306650819195	1	13	0	0.5002242360129103	1	0.75
NEK4	2.684879397766951e-4	0.7926875636288593	5	0	0.49501477322434256	1	1
ARL15	0.004869998643003708	4.958327091219434e-4	8	1	0.4889701311339116	1	1
CDON	0.009940932761933065	0.8498692375095577	4	0	-0.48743532682911106	1	1
CPEB2	8.888115989512191e-7	0.07232668046943365	7	0	0.47365794094801245	1	1
SLCO2B1	2.9672369286202176e-4	1	10	0	0.4735329796128403	1	1
LOC113251748	0.03693990227410724	1	6	0	0.4726733942497743	1	0.75
SMG7	0.04606229625948902	1	10	0	0.4719466831728415	1	1
MYO9A	0.005695232543017563	0.043575386700707076	6	1	-0.4717614270088989	1	1
PPM1G	0.012902416143998143	0.3865984533764009	3	0	-0.46785755930801676	1	1
AGPS	1.7482578943999805e-20	2.3146485042432126e-7	6	3	-0.467642749161789	1	1
PLA2G7	0.02271055663635766	1	9	0	0.4656508843989795	1	0.75
ZNF652	0.015374093487916619	1	3	0	-0.465568454709016	1	1
MAT1A	1.3506904018988067e-4	0.012607698868008733	10	1	-0.46526485342605844	1	0.75
MAPK6	0.0010118095386573796	0.8652535558855791	6	0	-0.462649851430634	1	1
RALBP1	0.009625686878121565	0.003931923503352776	3	2	0.4588219742164914	1	1
EBF1	0.016731040750423903	1	4	0	-0.45841393368489725	1	1
DAZAP1	0.02143344138580439	0.03579306043937056	7	1	0.45494405614382133	1	1
CRB3	2.6925305352041673e-4	0.30399123620455093	5	0	0.45414389316055187	1	0.75
SREBF1	7.942492836289946e-5	0.016336474546684635	5	1	0.44665409176634246	1	1
NCAM1	0.03877870736383054	0.47647740807489525	6	0	0.44663559142579645	1	1
NFKBIZ	0.044008416913616115	0.04195624713319655	7	1	0.44488221926723015	1	1
PTCD3	8.587751035001786e-4	0.004406509565770311	13	1	0.4448286107419949	1	1
MTSS1	0.00600831791248291	0.001936631990177786	11	1	0.4417370041916737	1	1
SPATS2L	0.007072319626408665	1	9	0	0.4413205955695174	1	1
YES1	0.020144995324653716	0.014968456228920131	4	1	0.44126968901095676	1	1
RNF114	0.03969619496323079	0.008447310312502612	4	1	-0.4402203291825094	1	1
IL11RA	0.023463694649735155	1	11	0	0.4385004371103106	1	1
DOCK11	0.0439502531623721	0.07519091333152261	6	0	-0.437330636592664	1	1
SLC38A3	0.028288790134346726	1	9	0	-0.4358698002817017	0.75	0.75
PARP8	0.023967147121971847	1	5	0	-0.43573955149469146	1	1
LOC113270722	1.241340809635634e-5	0.009372798091572238	8	1	-0.43200710560442845	1	1
BRD1	0.03336526956223571	0.18473649129229647	8	0	0.4314133994341054	1	1
PRXL2A	1.9596114562275328e-4	1	7	0	-0.4251425263545103	1	1
SLC38A4	2.3155288660754643e-4	1	8	0	0.42032763826603164	1	1
MDN1	0.0014217023685608341	5.591207996250713e-5	3	1	0.41874857697387213	1	1
HSD17B11	1.4908179642697658e-4	1.949078118071323e-6	4	1	0.41641531874443394	1	1
IQSEC1	9.667686496708655e-4	0.280296740964925	7	0	0.4157749344929585	1	1
EXOSC10	0.0016978409482491642	0.0061162831420885225	12	1	0.4125981111123136	1	1
USP3	0.04606229625948902	0.644767985379208	11	0	0.41087257418303313	1	1
C5	2.3155288660754643e-4	0.6284460449068998	8	0	0.4025230090081428	1	1
TDO2	0.001601259411163276	0.09317598164848427	9	0	0.4009848140627763	0.75	0.75
SESN3	0.04634400717702302	0	2	2	0.4000979323994226	1	1
CTDSPL2	0.020012158320772612	0.055201876315955065	7	0	0.39573062185224006	1	1
RIN2	5.960283689489857e-4	0.040557278120428204	10	1	-0.3949045545374413	1	1
TMEM94	0.004057697932915747	1	7	0	-0.3934154973368247	1	1
CASP6	0.028288790134346726	0.39018791005520714	7	0	-0.3913091922659727	1	0.75
FAM214A	0.004089328946257326	0.9708910564981478	6	0	-0.3896356804966949	1	1
RIOK1	3.077903260370609e-4	1	5	0	-0.389561882713956	1	1
DGAT2	0.036694147858995815	1	3	0	0.3866154041770519	1	1
WNK1	2.2602114196894606e-4	0.32703764199545404	9	0	-0.38042478081895686	1	1
ZNF662	0.03764178192964613	1	7	0	-0.3800336607411027	1	0.75
SUGCT	0.001066374476027531	0.12255061467535656	5	0	-0.37669741599867945	1	1
MPRIP	0.04848538858797533	0.056429604031740105	6	0	-0.3749422332063177	1	1
CDKN2AIP	0.00948355712099165	1	5	0	0.37472124762975195	1	1
LOC113249727	0.04848538858797533	1	8	0	0.37191245189791344	1	1
VAT1	0.044008416913616115	0	2	2	-0.3656452271150058	1	1
DHRS7B	0.03375036718174975	1	14	0	0.35786561624579133	1	1
TTPAL	0.03479093893645933	1	7	0	-0.3541610988505641	1	1
MITF	6.73221729467457e-4	1	8	0	0.35117686989268676	1	1
MTMR6	0.043499469555658095	0.5091647661714945	8	0	0.34868272284594143	1	1
LACC1	0.04965436561907841	0.1560429779478697	6	0	-0.3435340434137822	1	1
CCNH	0.026841441876574827	0.9045190058582678	4	0	-0.3427157266736622	1	1
DCN	0.03969619496323079	0	2	2	0.3411037807399938	1	1
ALDOB	0.00597134923814749	0.042794056040892516	7	1	-0.33934529496340243	1	1
SLC25A51	0.012902416143998143	1	18	0	0.3384935111894447	1	1
CAPZA1	0.00597134923814749	0.032017690371573225	5	1	-0.3381594502709032	1	1
TF	1.0224729847130894e-7	0.36680810203879594	11	0	-0.33759350956780143	1	1
RBPJ	0.02394082891579485	0.20494653441427516	6	0	0.3346812831636589	1	1
DMD	0.02394082891579485	1	9	0	-0.33059185046238204	1	1
LOC113252977_RMDN1	0.0032511440037949024	0.08686903009971476	6	0	-0.3301854687356509	1	1
DPYS	0.03018913729079119	1	5	0	0.3298212869677695	1	1
SYNJ2BP	0.016048680756926725	1	5	0	-0.32954961076710376	1	1
ITIH4	0.03217046987999638	1	9	0	-0.3286356413454278	1	0.75
OTULIN	0.0371994239626616	0.009929850222923616	4	1	-0.3268786319323636	1	1
ADRA1A	4.263227533241881e-4	0.37778409460976586	10	0	0.3264200147639675	1	1
LOC113260329	0.005630221816135479	0.24168768329555246	7	0	0.3247021093386603	1	1
NRDC	0.04965436561907841	1	11	0	0.3224325141907617	1	1
PANK1	0.008362814459159582	0.09960352637123959	4	0	-0.32088581658099474	1	1
FBLN1	0.023967147121971847	0.011607870844334591	4	1	-0.3205635184163035	1	1
TARDBP	0.03764178192964613	0.2599301519183113	6	0	0.31887864006548344	1	1
MYLK	0.009346915967049766	0.06201979488653069	6	0	-0.3145662209191016	1	1
PLS1	0.019296476922809693	0.07814918159590054	13	0	-0.3129088156918115	1	1
UROS	0.0313733386100209	0.0714672198404886	12	0	0.31160290394767637	1	1
WDR75	0.00106430913078023	0.11249639727264199	10	0	0.311039267238477	1	1
TCERG1	0.023463694649735155	1	10	0	0.310464262352037	1	1
LOC113270621	0.04738142506170159	1	6	0	0.3077735252270483	1	1
GPR180	0.01611558722274272	1	8	0	0.30576254885294774	1	1
IRF2	0.04153644998257214	0.13556415081379547	6	0	0.3024059306785014	1	1
LRRC61	0.04904886817262385	1	9	0	-0.3017051290953616	1	1
JADE1	0.021898140456927166	0.15086109548748927	10	0	0.30040319444845986	1	1
DECR2	3.599820110607546e-4	1	7	0	-0.3000834116323152	1	1
TNS1	0.01733937967934164	1	7	0	0.3000284076158356	1	1
CAT	0.004457930156633247	0.22128887552278617	10	0	-0.299830885580583	1	1
LOC113250606	0.015245517035328704	1	10	0	-0.2949907374331471	1	1
AMPD2	0.01611558722274272	1	11	0	-0.2937276961167556	1	1
ADGRF5	0.022313383320379628	1	7	0	0.2887768227079324	1	1
SENP6	0.02394082891579485	0.0022794708633750143	7	1	-0.28763830557368986	1	1
CUNH11orf54	0.004769685568125801	1	10	0	-0.28471348780884614	1	1
SORBS1	0.00774548255988342	0.09740112429552153	12	0	0.28335932726479457	1	1
ALB	8.68703598338225e-8	0.22140942517344855	13	0	-0.27526442282939545	1	1
SLC25A25	0.00658780201944076	1	12	0	-0.2748549752973844	1	1
FKBP15	0.009625686878121565	0.47004347221353837	14	0	-0.27403888752376687	1	1
CALD1	0.01580554513120872	0.6320890667956726	13	0	0.27332654674690765	1	1
P4HA1	0.01173907502683369	1	11	0	0.2724741076674829	1	1
PLA1A	0.03764178192964613	1	8	0	-0.2690606463036631	1	1
NDRG2	0.04606229625948902	0.5670300100984376	8	0	-0.26873977767666707	1	1
XPC	0.02596353092250393	1	9	0	-0.26751622180197043	1	1
DGLUCY	0.012902416143998143	1	12	0	0.2672261787849052	1	0.75
HSD17B12	0.04802384109217588	1	9	0	0.26615706647613757	1	1
ZFX	0.02908617929611673	1	3	0	0.26510467530754844	1	1
ATP9B	0.013314684057341715	0.18700054510960468	8	0	0.26427886886616425	1	1
CMBL	0.013157861231219233	1	7	0	0.2634983235153546	1	1
HLTF	0.0079697576765926	0.10248870444101774	10	0	0.2628181143769248	1	1
GPAM	6.565573268641922e-4	1	15	0	0.2597857639554788	1	1
NFE2L1	0.009625686878121565	0.8447010688894814	6	0	0.2593774163830033	1	1
TNS3	0.04634400717702302	1	9	0	-0.25851062004930675	1	1
CPEB4	0.020254530257546356	1	3	0	-0.2573358569132029	1	1
FGFR2	0.04848538858797533	1	13	0	0.25428139369092756	1	1
MTUS1	9.553172599236557e-5	0.0183324027823751	10	1	0.2513927610922092	1	1
PHF14	0.005695232543017563	0.07648148785981852	11	0	0.24939972799109267	1	1
SNRNP70	0.0016900247397790462	5.603333960980914e-4	6	1	0.2490828859084073	1	1
ACAA2	6.984958387456438e-5	4.16598017359957e-4	4	1	-0.24540565082592075	1	1
SMYD1	0.016731040750423903	1	4	0	-0.24516384825993823	1	1
TSPAN12	0.018402877522650452	0.14183674176637268	13	0	0.24291833079926228	1	1
CARF	0.0032511440037949024	1	12	0	0.24244988947878343	1	1
FLAD1	0.017326815860334924	1	10	0	0.24225608103119883	1	1
BZW1	0.016731040750423903	0.12152572919314691	7	0	0.23609564595913535	1	1
NCOR1	0.004072178456734265	0.1468665478488935	8	0	-0.2357786856523143	1	1
STK38	0.012824033691787863	1	9	0	0.2348195132650511	1	1
IFI44L	0.03285883727442922	1	11	0	0.23213564443819876	1	1
ATF6	0.02961936816883059	1	5	0	0.2310678187032735	1	1
MFSD1	0.03487245122023951	0.23518879381423768	5	0	-0.22949388323401704	1	1
FMO4	6.908283937425095e-4	1	10	0	0.22806157928172202	1	1
TMCO3	0.037189547877581934	1	12	0	-0.22590165546143817	1	1
PER1	0.03025757754648244	1	11	0	0.2244784728260079	1	1
HSD17B14	0.03299775165135604	1	6	0	-0.2237222350864082	1	1
PHLDB2	6.908283937425095e-4	0.7856493922613127	13	0	0.2234477459460762	1	1
JAK1	0.04348958113449441	0.5478495494558063	8	0	-0.22189669457930836	1	1
CES3	4.3355632442030486e-11	0.07829884891400908	11	0	-0.2185259465562877	0.75	0.75
PPM1K	0.009382273211294293	1	6	0	-0.21671295650396769	1	1
COPS4	0.03410184355246625	1	6	0	0.21559133342539033	1	1
CTNND1	0.0059347888173850675	1	12	0	0.2068314056777467	1	1
CNOT2	0.04041954623288327	1	14	0	0.2041268714629742	1	1
SHMT1	0.02029711780291849	1	17	0	0.20342544870546517	1	1
SEC31A	0.0025260042723549083	1	19	0	0.20279900678835974	1	1
HNF4A	8.129933224795658e-4	1	6	0	-0.20049591783702625	0.75	0.75
SIPA1L1	0.015277430660924017	1	6	0	-0.1997155390712428	1	1
PRRC2C	5.29500548003601e-4	0.12682185434016885	8	0	-0.1915046105180143	1	1
LOC113262783	0.018402877522650452	1	15	0	-0.18996818806335583	1	1
LOC113265233	0.016942718542973922	1	12	0	-0.1857008601896996	1	1
AS3MT	0.008362814459159582	1	11	0	-0.17266613423068863	1	1
EPS15	0.004166756622259588	1	9	0	0.16085987079669695	1	1
GGACT	0.03969619496323079	1	11	0	0.15009584149179017	1	1
LOC113242918	0.02394082891579485	1	8	0	0.13846603172414287	1	1
HNRNPA2B1	0.040174605457493115	1	11	0	0.13830931128822824	1	1
HERC3	0.02394082891579485	1	14	0	-0.1362977566612542	1	1
LOC113253526	1.2154254523978355e-5	1	4	0	0.13050556129079693	1	1
AHR	0.016048680756926725	1	5	0	-0.12825421773934384	1	1
None	2.19362620441334e-6	1	3	0	-0.1253749934163942	1	1
CDC42BPA	0.04041954623288327	1	6	0	-0.10686646964819055	1	1
COX3	7.845736890222119e-4	0	2	2	-0.07140905548735832	1	1
