Orthogroup	ursMar.longCDS.prots	homSap.longCDS.prots
OG0000031	rna29065, rna29066, rna32972, rna29062, rna32971, rna29064, rna32970, rna29063	ENST00000322107.1, ENST00000305892.1
OG0000031	rna29068, rna29061, rna29067	ENST00000308940.8, ENST00000334920.3, ENST00000305899.4
OG0000032	rna36062, rna34699, rna34705, rna33388, rna36061, rna34700, rna34703, rna34702, rna14151, rna34701	ENST00000307832.2
OG0000032	rna35166, rna35175	ENST00000320002.3
OG0000033	rna2802	ENST00000262717.8
OG0000033	rna10356	ENST00000382275.5
OG0000033	rna13652	ENST00000504376.6
OG0000033	rna13649	ENST00000231021.8
OG0000033	rna13648	ENST00000265071.2
OG0000033	rna13650	ENST00000264463.8
OG0000033	rna2765	ENST00000323011.7
OG0000033	rna19735	ENST00000372262.7
OG0000034	rna33150, rna24521	ENST00000426406.2, ENST00000332831.3, ENST00000456475.1, ENST00000320901.3
OG0000034	rna24518	ENST00000332238.4
OG0000034	rna24517	ENST00000328882.5
OG0000035	rna18841	ENST00000408906.2
OG0000035	rna18838, rna18839	ENST00000408949.2
OG0000035	rna18835, rna18837, rna18836	ENST00000408899.2, ENST00000408979.2
OG0000035	rna18834	ENST00000315453.3, ENST00000493325.1
OG0000035	rna18840	ENST00000408898.2
OG0000036	rna32695	ENST00000441343.5
OG0000036	rna19324	ENST00000295598.9
OG0000036	rna22713	ENST00000361216.7
OG0000036	rna22712	ENST00000368081.8
OG0000036	rna12872	ENST00000218548.10
OG0000036	rna35253	ENST00000262623.3
OG0000037	gene20013, gene20016, gene20015, gene20014, gene20017	ENST00000390310.2, ENST00000390312.2, ENST00000390306.2, ENST00000390314.2, ENST00000620395.2, ENST00000390287.2
OG0000038	rna22990	ENST00000314706.3
OG0000038	rna22991	ENST00000314721.3, ENST00000319760.7, ENST00000418689.1
OG0000038	rna22992, rna22994, rna23000, rna22998, rna22999, rna22993, rna22996, rna22995	ENST00000446524.1
OG0000039	rna102, rna32764, rna28497, rna19638, rna28925	ENST00000316292.13
OG0000039	rna4359, rna15901, rna8307	ENST00000298049.11
OG0000040	rna26518	ENST00000369851.5
OG0000040	rna5940	ENST00000351004.7
OG0000040	rna26519	ENST00000351050.7
OG0000040	rna26134	ENST00000232461.7
OG0000040	rna5944	ENST00000398291.3
OG0000040	rna24841	ENST00000262493.11
OG0000040	rna26132	ENST00000313601.10
OG0000041	rna6863	ENST00000540430.5
OG0000041	rna23220, rna27784, rna14159	ENST00000396076.5
OG0000041	rna6862	ENST00000541669.5
OG0000041	rna8737	ENST00000307144.5
OG0000041	rna6861	ENST00000396213.7
OG0000042	rna2466	ENST00000394709.2
OG0000042	rna35016	ENST00000375654.4
OG0000042	rna35015, rna35014	ENST00000375650.4, ENST00000375651.6
OG0000043	rna33287, rna33291	ENST00000359682.2, ENST00000317965.3, ENST00000366476.1, ENST00000456743.2
OG0000043	rna32960, rna32959, rna35725, rna33285, rna33286, rna33288, rna33292	ENST00000306687.1
OG0000044	rna26969	ENST00000336023.9
OG0000044	rna26971, rna30144	ENST00000301071.11
OG0000044	rna27894	ENST00000380419.7
OG0000044	rna27214	ENST00000416740.1
OG0000044	rna11099	ENST00000248437.8
OG0000044	rna26970	ENST00000541364.5
OG0000044	rna19137, rna19143	ENST00000400113.7, ENST00000312988.8, ENST00000321253.6
OG0000046	rna22777	ENST00000368167.7
OG0000046	rna22778	ENST00000368168.3
OG0000046	rna22781	ENST00000368170.7
OG0000047	rna22737, rna22735, rna22739	ENST00000423932.4
OG0000047	rna22736	ENST00000504970.1
OG0000047	rna22734	ENST00000332217.5
OG0000047	rna22732	ENST00000334857.3
OG0000049	rna35735, rna35739, rna35734, rna35737, rna35738, rna35736, rna35733, rna35726, rna35727	ENST00000366473.3, ENST00000328570.4, ENST00000366475.1
OG0000050	rna27999	ENST00000305444.2
OG0000050	rna27997, rna27998, rna27996, rna27995	ENST00000541538.1
OG0000050	rna27991, rna27990, rna27992, rna27994	ENST00000305456.2
OG0000051	rna23323, rna23321, rna23320, rna23322	ENST00000007735.3, ENST00000251646.7, ENST00000251645.2, ENST00000394001.1
OG0000051	rna23328	ENST00000225899.3
OG0000051	rna23330	ENST00000328119.10
OG0000051	rna23329	ENST00000393989.1
OG0000052	rna29222, rna29220	ENST00000334181.4, ENST00000307658.11, ENST00000596400.1, ENST00000282282.3, ENST00000336128.11, ENST00000597658.1
OG0000052	rna29119	ENST00000396154.6, ENST00000512439.6, ENST00000282308.3, ENST00000317178.9, ENST00000594684.1, ENST00000339656.7, ENST00000312026.5, ENST00000598031.1, ENST00000425570.7, ENST00000391701.1, ENST00000594901.1, ENST00000435989.6, ENST00000376233.7, ENST00000332854.10, ENST00000254166.3
OG0000053	rna13906	ENST00000614012.4, ENST00000449934.6, ENST00000252229.6
OG0000053	rna22997, rna32958	ENST00000376630.4, ENST00000376828.6, ENST00000259951.11, ENST00000376806.9, ENST00000412585.6, ENST00000383329.7
OG0000054	rna12305, rna12309, rna12307, rna12308, rna12306, rna12303, rna12302, rna12304	ENST00000307360.5, ENST00000398631.2, ENST00000531613.1, ENST00000529310.5, ENST00000526136.1, ENST00000504120.3, ENST00000529859.1, ENST00000530339.1, ENST00000525929.1, ENST00000532602.1, ENST00000522353.2, ENST00000398640.6
OG0000055	rna20631	ENST00000335302.5
OG0000055	rna20630	ENST00000340750.1
OG0000055	rna20632, rna20635, rna20636, rna20638, rna20633, rna20634, rna20629	ENST00000259357.3
OG0000056	rna32567, rna32566, rna32560, rna32561, rna32562	ENST00000317121.4
OG0000056	rna34055, rna34054, rna34056	ENST00000316529.3
OG0000057	rna20628, rna20639, rna20637, rna20640	ENST00000304865.3
OG0000057	rna20619	ENST00000373686.1
OG0000057	rna20618	ENST00000304820.3
OG0000058	rna32619	ENST00000380219.1
OG0000058	rna32620	ENST00000300773.3
OG0000058	rna32622	ENST00000624187.1
OG0000058	rna32623	ENST00000380224.1
OG0000059	rna4320, rna23728, rna4318, rna4321, rna23729, rna23727, rna23723, rna23719, rna23714, rna23715, rna23717	ENST00000398696.3
OG0000060	rna33748	ENST00000359350.4
OG0000060	rna33747, rna33736, rna33753, rna33758, rna33752, rna33759, rna33751	ENST00000380371.1, ENST00000380373.3
OG0000061	rna33293	ENST00000358120.2
OG0000062	rna32595, rna32593, rna32591, rna32574, rna32575, rna32592, rna32596, rna32594	ENST00000322653.5
OG0000063	gene26067, gene25715, gene26064, gene26061, gene26072, gene24367, gene24266, gene26069	ENST00000390441.2, ENST00000390431.3
OG0000065	rna26552	ENST00000633222.1
OG0000065	rna35610	ENST00000382545.4
OG0000065	rna26555	ENST00000369769.3
OG0000065	rna35609	ENST00000252321.4
OG0000065	rna4126	ENST00000221444.1
OG0000065	rna32317	ENST00000280684.3
OG0000066	rna4538	ENST00000375820.8
OG0000066	rna32292	ENST00000328300.10
OG0000066	rna11035	ENST00000396578.7
OG0000066	rna11036	ENST00000396625.3
OG0000066	rna18754	ENST00000394872.6
OG0000066	rna4536	ENST00000360467.5
OG0000067	rna28172	ENST00000216181.9
OG0000067	rna18595	ENST00000396324.7
OG0000067	rna8202	ENST00000360416.7
OG0000067	rna4192	ENST00000601313.5
OG0000068	rna17875, rna17873	ENST00000378981.7, ENST00000378982.3, ENST00000378988.4
OG0000068	rna17861	ENST00000325250.1
OG0000068	rna17867, rna17866	ENST00000356790.2
OG0000069	rna28761	ENST00000504543.1, ENST00000511681.1, ENST00000515574.1, ENST00000621388.1, ENST00000610514.1, ENST00000621472.1, ENST00000622713.1, ENST00000613757.1, ENST00000613973.1, ENST00000619296.1, ENST00000421288.3, ENST00000614762.1, ENST00000616303.1, ENST00000622009.1, ENST00000615989.1, ENST00000621432.2, ENST00000506619.2, ENST00000415041.1, ENST00000507227.1, ENST00000504104.1, ENST00000526929.1, ENST00000527080.1, ENST00000529559.1, ENST00000530484.1, ENST00000333796.3, ENST00000530447.4
OG0000071	rna32905, rna32908, rna32907, rna32904, rna32900, rna33081, rna33080, rna33079, rna33082, rna32865	ENST00000366480.4
OG0000072	rna34722, rna34726, rna34725, rna34723, rna34719, rna34720, rna34724	ENST00000305377.5
OG0000073	rna23010, rna23005, rna23013, rna23016, rna23004, rna23006, rna23011, rna23015, rna23007, rna23009	ENST00000568934.1
OG0000074	rna15279, rna15281, rna15280	ENST00000623845.1
OG0000074	rna15271, rna15277, rna15275, rna15273, rna15278, rna15283	ENST00000313447.1
OG0000077	rna33197	ENST00000609664.2, ENST00000400365.3, ENST00000400368.1, ENST00000400374.4
OG0000077	rna33199	ENST00000400372.1, ENST00000400375.1, ENST00000391620.1, ENST00000397911.4, ENST00000334670.9, ENST00000391621.1, ENST00000380095.2
OG0000078	rna15400	ENST00000300127.2
OG0000078	rna15402	ENST00000530162.1
OG0000078	rna15403	ENST00000313253.1
OG0000078	rna15404	ENST00000329328.3
OG0000079	rna30065, rna30066, rna32587, rna30063, rna30064, rna30062, rna30061	ENST00000624801.3
OG0000080	rna7184	ENST00000392524.6
OG0000080	rna27183	ENST00000340913.10
OG0000080	rna3807	ENST00000357495.3
OG0000081	rna27067	ENST00000257901.7
OG0000081	rna27065	ENST00000293670.3, ENST00000327741.9
OG0000081	rna27064, rna27061, rna27063	ENST00000423955.6
OG0000082	rna4801	ENST00000331351.5
OG0000082	rna18691	ENST00000261374.3
OG0000082	rna18267	ENST00000454677.2
OG0000082	rna8254, rna8257, rna32310	ENST00000284110.1
OG0000084	rna15265, rna15270	ENST00000313264.5
OG0000084	rna15255, rna15267, rna15269, rna15266, rna15268	ENST00000303059.3, ENST00000313033.3
OG0000085	rna33269, rna36078, rna36077, rna36080, rna36070, rna36071, rna36081, rna32996, rna32957	ENST00000315683.1
OG0000086	rna11215	ENST00000370456.4
OG0000086	rna11220	ENST00000370459.7
OG0000086	rna11224	ENST00000370481.8, ENST00000370473.4, ENST00000464839.5
OG0000087	rna4292	ENST00000594154.5
OG0000087	rna4290	ENST00000293471.10
OG0000087	rna4293	ENST00000270649.10
OG0000087	rna4294	ENST00000594083.5
OG0000087	rna4297	ENST00000243644.8
OG0000087	rna4286	ENST00000354957.7
OG0000089	rna36261	ENST00000334701.11
OG0000089	rna12631	ENST00000620073.4
OG0000091	rna27091	ENST00000552150.5
OG0000092	rna12642	ENST00000398776.1
OG0000092	rna31987	ENST00000533820.5
OG0000092	rna1716	ENST00000366872.9
OG0000092	rna1714	ENST00000295006.5
OG0000092	rna9975	ENST00000271971.6
OG0000093	rna2486	ENST00000337537.7
OG0000093	rna23254	ENST00000261461.6
OG0000093	rna31957	ENST00000164133.6
OG0000093	rna12690	ENST00000485511.5
OG0000093	rna36263	ENST00000422945.6
OG0000094	gene16288	ENST00000453673.3, ENST00000448155.2, ENST00000498574.1, ENST00000509129.1, ENST00000465170.1, ENST00000390265.2, ENST00000473726.1, ENST00000498435.1, ENST00000390278.3, ENST00000468879.1, ENST00000471857.2, ENST00000495489.1, ENST00000611391.1, ENST00000493819.1, ENST00000483379.1, ENST00000490686.1, ENST00000464162.1, ENST00000377032.5, ENST00000480492.1, ENST00000479981.1, ENST00000492446.1, ENST00000496168.1
OG0000096	rna6054	ENST00000297268.10
OG0000096	rna7283	ENST00000374866.7
OG0000096	rna7282	ENST00000304636.7
OG0000096	rna26912	ENST00000380518.7
OG0000096	rna822	ENST00000225964.9
OG0000097	rna16159	ENST00000234590.8
OG0000097	rna8077	ENST00000323997.10
OG0000097	rna35540	ENST00000541477.5
OG0000099	rna11813	ENST00000434551.2
OG0000099	rna11812	ENST00000275200.1
OG0000099	rna11811, rna11808, rna11810	ENST00000275198.1
OG0000101	rna19788	ENST00000255136.7
OG0000101	rna9544	ENST00000318607.9
OG0000101	rna15514	ENST00000372858.7
OG0000103	rna13259	ENST00000638159.1
OG0000103	rna23527	ENST00000507069.5
OG0000103	rna13260	ENST00000274545.9
OG0000103	rna5266	ENST00000370314.8
OG0000103	rna28983	ENST00000335625.9
OG0000104	rna19561	ENST00000254488.6
OG0000104	rna27267	ENST00000397296.6
OG0000104	rna27266	ENST00000343164.8
OG0000104	rna19485	ENST00000613060.4
OG0000107	rna1589, rna16727, rna28965, rna35584, rna4547, rna3857	ENST00000229239.9
OG0000108	rna7609	ENST00000329841.9
OG0000108	rna11708, rna11709	ENST00000297785.7
OG0000108	rna9172	ENST00000261733.6
OG0000108	rna30707	ENST00000377698.3
OG0000108	rna28633	ENST00000249750.8
OG0000109	rna14335	ENST00000510515.5
OG0000109	rna12466	ENST00000378719.6
OG0000109	rna35371	ENST00000356688.8
OG0000109	rna20392	ENST00000388975.3
OG0000110	rna13957	ENST00000304218.5
OG0000110	rna13948	ENST00000343677.3
OG0000110	rna13973	ENST00000244573.4
OG0000111	rna27810	ENST00000232564.7
OG0000111	rna20224	ENST00000303210.8
OG0000111	rna34734	ENST00000610897.4
OG0000111	rna35547	ENST00000229264.7
OG0000112	rna34161, rna32724, rna34162, rna32725, rna33442, rna36074	ENST00000357366.3
OG0000114	rna19831	ENST00000373193.7
OG0000114	rna1097	ENST00000580170.5
OG0000114	rna11851	ENST00000368207.7
OG0000114	rna15717	ENST00000345512.7
OG0000115	rna30793	ENST00000374736.7
OG0000115	rna26687	ENST00000614293.4
OG0000115	rna34282	ENST00000263094.10
OG0000115	rna19286	ENST00000370225.3
OG0000116	rna2462	ENST00000556626.5
OG0000116	rna32087	ENST00000533211.5
OG0000116	rna21746	ENST00000615901.4
OG0000116	rna8965	ENST00000392025.5
OG0000117	rna35419	ENST00000284856.3
OG0000117	rna6512	ENST00000289373.4, ENST00000419165.5, ENST00000233143.5
OG0000118	rna16884, rna16885	ENST00000545221.1
OG0000118	rna16888	ENST00000268912.5
OG0000119	rna33794, rna33281, rna33282, rna33786, rna33795	ENST00000321255.1
OG0000120	rna16528, rna16527	ENST00000408891.2, ENST00000291231.1
OG0000120	rna16529, rna16530	ENST00000615105.1
OG0000122	rna4866	ENST00000395248.5
OG0000122	rna16654	ENST00000395321.6
OG0000123	rna28848	ENST00000354650.7
OG0000123	rna15778	ENST00000374005.7
OG0000123	rna19879	ENST00000373558.2
OG0000123	rna1147	ENST00000577961.5
OG0000124	rna32401, rna11422	ENST00000329654.8
OG0000124	rna12148	ENST00000340635.10
OG0000124	rna26402	ENST00000355502.7
OG0000124	rna30971	ENST00000380702.6
OG0000125	rna8894	ENST00000252699.6
OG0000125	rna2384	ENST00000538545.6
OG0000125	rna32079	ENST00000502692.5
OG0000125	rna10120	ENST00000542672.5
OG0000126	rna32365, rna24507	ENST00000560611.5
OG0000126	rna24645	ENST00000422611.6
OG0000126	rna19743	ENST00000454036.6
OG0000126	rna31690	ENST00000264930.9
OG0000127	rna35389	ENST00000358741.3
OG0000127	rna15483	ENST00000382868.5, ENST00000538097.5
OG0000127	rna8124	ENST00000575301.5
OG0000127	rna27828	ENST00000457714.5
OG0000128	rna26205	ENST00000232375.7
OG0000128	rna27911	ENST00000640683.1
OG0000128	rna4640	ENST00000367080.7
OG0000128	rna34797	ENST00000375006.7
OG0000129	rna30246	ENST00000278550.11
OG0000129	rna32763	ENST00000422452.2
OG0000129	rna13252	ENST00000518659.5
OG0000129	rna32254	ENST00000511685.5
OG0000130	rna7722	ENST00000261173.6
OG0000130	rna19562	ENST00000352432.8
OG0000130	rna32228	ENST00000349466.6
OG0000130	rna4777	ENST00000357681.9
OG0000131	gene25714, gene25718, gene25363, gene24268, gene24368, gene26071, gene24366, gene25716	ENST00000390436.2, ENST00000390439.2, ENST00000390427.3
OG0000132	rna18302, rna18303, rna18730, rna18732, rna18731	ENST00000301732.9
OG0000134	gene14047	ENST00000390313.2, ENST00000390308.2, ENST00000390316.2
OG0000134	gene20010, gene14048	ENST00000390311.2, ENST00000390305.2, ENST00000390304.2, ENST00000390315.2, ENST00000390307.2, ENST00000390303.3, ENST00000390309.2
OG0000135	rna21715, rna2125	ENST00000291295.13
OG0000136	rna15808	ENST00000531382.5
OG0000136	rna8656	ENST00000510118.5
OG0000136	rna22619	ENST00000620340.4
OG0000136	rna17836	ENST00000379565.7
OG0000137	rna15580	ENST00000373204.5
OG0000137	rna20827	ENST00000220592.9
OG0000137	rna15582	ENST00000373210.3
OG0000137	rna15579	ENST00000373191.8
OG0000138	rna8111	ENST00000317370.12
OG0000138	rna35498	ENST00000539924.5, ENST00000075120.11
OG0000138	rna21197	ENST00000426263.7
OG0000139	rna11589	ENST00000297668.10, ENST00000377561.6
OG0000139	rna10192	ENST00000563764.2, ENST00000476707.1
OG0000139	rna10787, rna5843	ENST00000431078.1
OG0000140	rna20342	ENST00000333538.9
OG0000140	rna31201	ENST00000328957.12
OG0000140	rna35611	ENST00000252318.6
OG0000140	rna35076	ENST00000227756.4
OG0000141	rna35401, rna33547, rna14153, rna23706	ENST00000374299.7
OG0000142	rna33352	ENST00000549396.5
OG0000142	rna21514	ENST00000253925.11
OG0000142	rna4130	ENST00000334186.8
OG0000142	rna4762	ENST00000367240.6
OG0000143	rna24383	ENST00000220325.8
OG0000143	rna4067	ENST00000263277.7
OG0000143	rna22360	ENST00000322054.9
OG0000143	rna31953	ENST00000621096.4
OG0000144	rna15473	ENST00000545496.5
OG0000144	rna15474	ENST00000381130.2
OG0000144	rna15475	ENST00000381127.5
OG0000144	rna15472	ENST00000381154.5
OG0000145	rna4708	ENST00000362061.3
OG0000145	rna116	ENST00000376265.2
OG0000145	rna27240	ENST00000399634.5
OG0000145	rna26007	ENST00000288139.9
OG0000146	rna10707	ENST00000282499.9
OG0000146	rna5182	ENST00000296526.11
OG0000146	rna13348	ENST00000448073.8
OG0000146	rna32752	ENST00000622768.4
OG0000147	rna32189	ENST00000369682.4
OG0000147	rna19424	ENST00000393409.2
OG0000147	rna23297	ENST00000367033.3
OG0000147	rna35183	ENST00000321063.8
OG0000148	rna670	ENST00000338492.8
OG0000148	rna24194	ENST00000521913.6
OG0000148	rna12196	ENST00000343218.9
OG0000148	rna5433	ENST00000324989.11
OG0000149	rna24199	ENST00000315985.7
OG0000149	rna5428	ENST00000335585.9
OG0000149	rna12200	ENST00000394414.5
OG0000149	rna659	ENST00000455566.5
OG0000150	rna27514	ENST00000615367.4
OG0000150	rna2360	ENST00000256389.3
OG0000150	rna2362	ENST00000603540.1
OG0000151	rna17449	ENST00000299641.8, ENST00000603027.5
OG0000151	rna9869	ENST00000264363.6
OG0000151	rna9875	ENST00000296499.5
OG0000151	rna13400	ENST00000261797.6
OG0000152	rna6498	ENST00000425967.7
OG0000152	rna571	ENST00000457416.6
OG0000152	rna13139	ENST00000292408.8
OG0000152	rna2884	ENST00000340107.8
OG0000154	rna25444	ENST00000446702.6
OG0000154	rna8586	ENST00000528682.5
OG0000154	rna25440	ENST00000263665.6
OG0000154	rna25445	ENST00000418658.5
OG0000155	gene16287	ENST00000429992.2, ENST00000620613.1, ENST00000390268.2, ENST00000491977.1, ENST00000462693.1, ENST00000484817.1, ENST00000474213.1, ENST00000468494.1, ENST00000482769.1, ENST00000453166.2
OG0000156	rna28185, rna28173, rna28182	ENST00000451256.6, ENST00000319136.8, ENST00000352371.5, ENST00000349314.6
OG0000157	rna1048	ENST00000335552.4
OG0000157	rna1050	ENST00000306658.7
OG0000157	rna1049	ENST00000301656.3
OG0000157	rna1046	ENST00000312150.4
OG0000158	rna22762	ENST00000368144.2
OG0000158	rna22765, rna22764, rna22763	ENST00000368146.1
OG0000159	rna6986	ENST00000360093.7
OG0000159	rna6989	ENST00000375437.6
OG0000159	rna7003	ENST00000423058.6
OG0000159	rna7004	ENST00000303354.10
OG0000159	rna27047	ENST00000599343.5
OG0000159	rna7008	ENST00000409855.5
OG0000159	rna14730	ENST00000435607.3
OG0000159	rna3488	ENST00000413689.5
OG0000159	rna3486	ENST00000302328.7
OG0000159	rna3487	ENST00000449082.2
OG0000162	rna25527	ENST00000375852.2
OG0000162	rna27522	ENST00000259089.8
OG0000162	rna15677	ENST00000333070.4
OG0000162	rna29393	ENST00000519728.5
