Orthogroup	homSap.longCDS.prots	ursAme.longCDS.prots
OG0000012	ENST00000354597.3, ENST00000375013.2	transcript_ENSUAMT00000022808, transcript_ENSUAMT00000020829, transcript_ENSUAMT00000034590, transcript_ENSUAMT00000007107, transcript_ENSUAMT00000007104, transcript_ENSUAMT00000034073, transcript_ENSUAMT00000022805, transcript_ENSUAMT00000022804
OG0000012	ENST00000341493.3	transcript_ENSUAMT00000034591, transcript_ENSUAMT00000004903, transcript_ENSUAMT00000019105, transcript_ENSUAMT00000019103, transcript_ENSUAMT00000019100, transcript_ENSUAMT00000006680
OG0000012	ENST00000328064.2	transcript_ENSUAMT00000024271
OG0000012	ENST00000306842.2	transcript_ENSUAMT00000024261
OG0000013	ENST00000617380.1, ENST00000519479.1	transcript_ENSUAMT00000000807, transcript_ENSUAMT00000000800
OG0000013	ENST00000576222.1	transcript_ENSUAMT00000000911
OG0000013	ENST00000522605.1	transcript_ENSUAMT00000000681
OG0000013	ENST00000523390.1	transcript_ENSUAMT00000000708
OG0000013	ENST00000520790.1	transcript_ENSUAMT00000000787
OG0000013	ENST00000252085.3	transcript_ENSUAMT00000041696
OG0000013	ENST00000394576.2	transcript_ENSUAMT00000000741
OG0000013	ENST00000253812.7	transcript_ENSUAMT00000000730
OG0000013	ENST00000517417.2	transcript_ENSUAMT00000000748
OG0000013	ENST00000518069.1	transcript_ENSUAMT00000003467
OG0000013	ENST00000398610.2	transcript_ENSUAMT00000000770
OG0000014	ENST00000217133.1	transcript_ENSUAMT00000031792
OG0000014	ENST00000317702.9	transcript_ENSUAMT00000031586
OG0000014	ENST00000315491.11	transcript_ENSUAMT00000022001
OG0000014	ENST00000333628.3	transcript_ENSUAMT00000017707
OG0000014	ENST00000340384.4	transcript_ENSUAMT00000031071
OG0000014	ENST00000264071.6	transcript_ENSUAMT00000033546
OG0000014	ENST00000327892.12	transcript_ENSUAMT00000038478
OG0000015	ENST00000339282.11	transcript_ENSUAMT00000028161
OG0000015	ENST00000598753.1, ENST00000435033.1, ENST00000547473.1, ENST00000430024.5, ENST00000543802.2, ENST00000323169.9	transcript_ENSUAMT00000025350
OG0000017	ENST00000377803.3, ENST00000578186.2, ENST00000244537.5, ENST00000615164.2, ENST00000615353.1, ENST00000634956.1, ENST00000621520.1	transcript_ENSUAMT00000037780
OG0000017	ENST00000614247.1	transcript_ENSUAMT00000023276, transcript_ENSUAMT00000003983, transcript_ENSUAMT00000015959, transcript_ENSUAMT00000004951, transcript_ENSUAMT00000032587
OG0000017	ENST00000617569.1	transcript_ENSUAMT00000007131
OG0000017	ENST00000358064.3	transcript_ENSUAMT00000015998
OG0000018	ENST00000317996.1, ENST00000318021.3, ENST00000319968.4	transcript_ENSUAMT00000003234, transcript_ENSUAMT00000000709, transcript_ENSUAMT00000021549, transcript_ENSUAMT00000001883, transcript_ENSUAMT00000020941, transcript_ENSUAMT00000006759, transcript_ENSUAMT00000007651, transcript_ENSUAMT00000025226, transcript_ENSUAMT00000001101, transcript_ENSUAMT00000034544, transcript_ENSUAMT00000014575
OG0000019	ENST00000316987.3	transcript_ENSUAMT00000000079
OG0000019	ENST00000610445.1	transcript_ENSUAMT00000030903
OG0000019	ENST00000321522.2	transcript_ENSUAMT00000036482, transcript_ENSUAMT00000036485
OG0000019	ENST00000445557.1	transcript_ENSUAMT00000002262, transcript_ENSUAMT00000036483
OG0000019	ENST00000379946.2, ENST00000537935.1	transcript_ENSUAMT00000004193, transcript_ENSUAMT00000003296, transcript_ENSUAMT00000000542, transcript_ENSUAMT00000016673, transcript_ENSUAMT00000003328
OG0000020	ENST00000302572.2	transcript_ENSUAMT00000036817
OG0000020	ENST00000302581.2	transcript_ENSUAMT00000036831
OG0000020	ENST00000357377.3	transcript_ENSUAMT00000036833
OG0000020	ENST00000309403.2	transcript_ENSUAMT00000036826, transcript_ENSUAMT00000036832, transcript_ENSUAMT00000036822
OG0000021	ENST00000374781.2	transcript_ENSUAMT00000020741
OG0000021	ENST00000277216.3	transcript_ENSUAMT00000020738
OG0000021	ENST00000341959.2	transcript_ENSUAMT00000012088, transcript_ENSUAMT00000012093, transcript_ENSUAMT00000006392, transcript_ENSUAMT00000003909, transcript_ENSUAMT00000000865, transcript_ENSUAMT00000004224, transcript_ENSUAMT00000003971, transcript_ENSUAMT00000006941, transcript_ENSUAMT00000002483, transcript_ENSUAMT00000002841
OG0000021	ENST00000424348.1	transcript_ENSUAMT00000012086
OG0000021	ENST00000335040.1	transcript_ENSUAMT00000020751, transcript_ENSUAMT00000020742
OG0000022	ENST00000339986.7, ENST00000465049.6, ENST00000456806.2, ENST00000355095.8, ENST00000590202.2	transcript_ENSUAMT00000003451, transcript_ENSUAMT00000006170, transcript_ENSUAMT00000000943
OG0000022	ENST00000600810.1, ENST00000311015.7	transcript_ENSUAMT00000004916, transcript_ENSUAMT00000016690, transcript_ENSUAMT00000010937, transcript_ENSUAMT00000006381, transcript_ENSUAMT00000006385, transcript_ENSUAMT00000006518, transcript_ENSUAMT00000002996, transcript_ENSUAMT00000003196, transcript_ENSUAMT00000003036, transcript_ENSUAMT00000001479, transcript_ENSUAMT00000002923, transcript_ENSUAMT00000001607, transcript_ENSUAMT00000010876
OG0000023	ENST00000390285.4, ENST00000390297.3, ENST00000390294.2, ENST00000390301.3, ENST00000390290.3, ENST00000390299.2, ENST00000390291.2	transcript_ENSUAMT00000000400, transcript_ENSUAMT00000001529, transcript_ENSUAMT00000001533, transcript_ENSUAMT00000003650, transcript_ENSUAMT00000004954, transcript_ENSUAMT00000001497, transcript_ENSUAMT00000005138, transcript_ENSUAMT00000004987, transcript_ENSUAMT00000005337, transcript_ENSUAMT00000005125, transcript_ENSUAMT00000014322, transcript_ENSUAMT00000000455, transcript_ENSUAMT00000004028, transcript_ENSUAMT00000003630, transcript_ENSUAMT00000005173, transcript_ENSUAMT00000021458
OG0000024	ENST00000335238.4	transcript_ENSUAMT00000018301
OG0000024	ENST00000328188.1, ENST00000555099.1	transcript_ENSUAMT00000018303, transcript_ENSUAMT00000033935, transcript_ENSUAMT00000033945, transcript_ENSUAMT00000028899, transcript_ENSUAMT00000028900, transcript_ENSUAMT00000028898
OG0000025	ENST00000443402.6, ENST00000436911.6	transcript_ENSUAMT00000010646, transcript_ENSUAMT00000017186
OG0000025	ENST00000444775.2, ENST00000390341.2, ENST00000390340.2	transcript_ENSUAMT00000010652
OG0000026	ENST00000261383.3	transcript_ENSUAMT00000025265
OG0000026	ENST00000420323.6	transcript_ENSUAMT00000008595
OG0000026	ENST00000620169.4	transcript_ENSUAMT00000021048, transcript_ENSUAMT00000025755
OG0000026	ENST00000262442.8	transcript_ENSUAMT00000040626
OG0000026	ENST00000389394.7, ENST00000430092.5	transcript_ENSUAMT00000022391
OG0000026	ENST00000312428.10, ENST00000495027.5	transcript_ENSUAMT00000031086, transcript_ENSUAMT00000018747
OG0000027	ENST00000317254.3	transcript_ENSUAMT00000012756, transcript_ENSUAMT00000022616, transcript_ENSUAMT00000003798, transcript_ENSUAMT00000014904, transcript_ENSUAMT00000014901
OG0000027	ENST00000317093.2	transcript_ENSUAMT00000003143, transcript_ENSUAMT00000023294
OG0000027	ENST00000317078.1	transcript_ENSUAMT00000023291
OG0000027	ENST00000317037.2	transcript_ENSUAMT00000001359, transcript_ENSUAMT00000003370
OG0000028	ENST00000246635.7	transcript_ENSUAMT00000011076
OG0000028	ENST00000254043.7	transcript_ENSUAMT00000011081
OG0000028	ENST00000246662.8	transcript_ENSUAMT00000011087
OG0000028	ENST00000311208.12	transcript_ENSUAMT00000011155, transcript_ENSUAMT00000011153
OG0000028	ENST00000301653.8	transcript_ENSUAMT00000011145
OG0000028	ENST00000167586.6	transcript_ENSUAMT00000011131
OG0000029	ENST00000310194.1	transcript_ENSUAMT00000010999, transcript_ENSUAMT00000021576, transcript_ENSUAMT00000021581, transcript_ENSUAMT00000039760, transcript_ENSUAMT00000021577, transcript_ENSUAMT00000010996, transcript_ENSUAMT00000021583, transcript_ENSUAMT00000031613, transcript_ENSUAMT00000031612
OG0000030	ENST00000380367.1	transcript_ENSUAMT00000007049, transcript_ENSUAMT00000000738, transcript_ENSUAMT00000001698, transcript_ENSUAMT00000003813, transcript_ENSUAMT00000003857, transcript_ENSUAMT00000005226, transcript_ENSUAMT00000004161
OG0000030	ENST00000307388.1	transcript_ENSUAMT00000005424, transcript_ENSUAMT00000003567, transcript_ENSUAMT00000008443, transcript_ENSUAMT00000003290, transcript_ENSUAMT00000001725, transcript_ENSUAMT00000003322
OG0000031	ENST00000322107.1, ENST00000305892.1	transcript_ENSUAMT00000026222, transcript_ENSUAMT00000026224, transcript_ENSUAMT00000026220, transcript_ENSUAMT00000005146, transcript_ENSUAMT00000026219, transcript_ENSUAMT00000005149
OG0000031	ENST00000308940.8, ENST00000334920.3, ENST00000305899.4	transcript_ENSUAMT00000004964, transcript_ENSUAMT00000026218, transcript_ENSUAMT00000004963
OG0000032	ENST00000307832.2	transcript_ENSUAMT00000003555, transcript_ENSUAMT00000006989, transcript_ENSUAMT00000023256, transcript_ENSUAMT00000003373, transcript_ENSUAMT00000001428, transcript_ENSUAMT00000023258, transcript_ENSUAMT00000036487, transcript_ENSUAMT00000021688, transcript_ENSUAMT00000002259, transcript_ENSUAMT00000003492
OG0000032	ENST00000320002.3	transcript_ENSUAMT00000018281, transcript_ENSUAMT00000040543
OG0000033	ENST00000262717.8	transcript_ENSUAMT00000038847
OG0000033	ENST00000382275.5	transcript_ENSUAMT00000014220
OG0000033	ENST00000231021.8	transcript_ENSUAMT00000006108
OG0000033	ENST00000265071.2	transcript_ENSUAMT00000002774
OG0000033	ENST00000323011.7	transcript_ENSUAMT00000002585
OG0000033	ENST00000372262.7	transcript_ENSUAMT00000017210
OG0000034	ENST00000426406.2, ENST00000332831.3, ENST00000456475.1, ENST00000320901.3	transcript_ENSUAMT00000000966
OG0000035	ENST00000408906.2	transcript_ENSUAMT00000016510
OG0000035	ENST00000408949.2	transcript_ENSUAMT00000007638, transcript_ENSUAMT00000016378
OG0000035	ENST00000408899.2, ENST00000408979.2	transcript_ENSUAMT00000021475, transcript_ENSUAMT00000021469
OG0000035	ENST00000315453.3, ENST00000493325.1	transcript_ENSUAMT00000033224
OG0000035	ENST00000408898.2	transcript_ENSUAMT00000016377
OG0000036	ENST00000441343.5	transcript_ENSUAMT00000034323
OG0000036	ENST00000295598.9	transcript_ENSUAMT00000006245
OG0000036	ENST00000361216.7	transcript_ENSUAMT00000018211
OG0000036	ENST00000368081.8	transcript_ENSUAMT00000028622
OG0000036	ENST00000218548.10	transcript_ENSUAMT00000000565
OG0000036	ENST00000262623.3	transcript_ENSUAMT00000029882
OG0000037	ENST00000390302.3	transcript_ENSUAMT00000021443, transcript_ENSUAMT00000002243
OG0000037	ENST00000390310.2, ENST00000390312.2, ENST00000390306.2, ENST00000390314.2, ENST00000620395.2, ENST00000390287.2	transcript_ENSUAMT00000007129, transcript_ENSUAMT00000020812, transcript_ENSUAMT00000021441, transcript_ENSUAMT00000012648, transcript_ENSUAMT00000003503, transcript_ENSUAMT00000002687, transcript_ENSUAMT00000006962, transcript_ENSUAMT00000004166, transcript_ENSUAMT00000001455, transcript_ENSUAMT00000019169, transcript_ENSUAMT00000003009, transcript_ENSUAMT00000019157, transcript_ENSUAMT00000007294
OG0000038	ENST00000314706.3	transcript_ENSUAMT00000026411
OG0000038	ENST00000314721.3, ENST00000319760.7, ENST00000418689.1	transcript_ENSUAMT00000026412
OG0000038	ENST00000446524.1	transcript_ENSUAMT00000026415, transcript_ENSUAMT00000018321, transcript_ENSUAMT00000018306, transcript_ENSUAMT00000018312, transcript_ENSUAMT00000018308, transcript_ENSUAMT00000018317, transcript_ENSUAMT00000026416
OG0000039	ENST00000316292.13	transcript_ENSUAMT00000007878
OG0000040	ENST00000369851.5	transcript_ENSUAMT00000009088
OG0000040	ENST00000351050.7	transcript_ENSUAMT00000009153
OG0000040	ENST00000232461.7	transcript_ENSUAMT00000041665
OG0000040	ENST00000398291.3	transcript_ENSUAMT00000020398
OG0000040	ENST00000262493.11	transcript_ENSUAMT00000011396
OG0000040	ENST00000313601.10	transcript_ENSUAMT00000041660
OG0000041	ENST00000540430.5	transcript_ENSUAMT00000027329, transcript_ENSUAMT00000006483
OG0000041	ENST00000396076.5	transcript_ENSUAMT00000005900
OG0000041	ENST00000541669.5	transcript_ENSUAMT00000027328, transcript_ENSUAMT00000019562
OG0000041	ENST00000307144.5	transcript_ENSUAMT00000027254
OG0000042	ENST00000394709.2	transcript_ENSUAMT00000028852
OG0000042	ENST00000532636.5	transcript_ENSUAMT00000031829
OG0000042	ENST00000375650.4, ENST00000375651.6	transcript_ENSUAMT00000035669
OG0000043	ENST00000359682.2, ENST00000317965.3, ENST00000366476.1, ENST00000456743.2	transcript_ENSUAMT00000030925, transcript_ENSUAMT00000026923
OG0000043	ENST00000306687.1	transcript_ENSUAMT00000007484, transcript_ENSUAMT00000015759, transcript_ENSUAMT00000026922, transcript_ENSUAMT00000030926, transcript_ENSUAMT00000026924
OG0000044	ENST00000301071.11	transcript_ENSUAMT00000006405, transcript_ENSUAMT00000012490
OG0000044	ENST00000380419.7	transcript_ENSUAMT00000009692
OG0000044	ENST00000416740.1	transcript_ENSUAMT00000037765
OG0000044	ENST00000541364.5	transcript_ENSUAMT00000006370, transcript_ENSUAMT00000003210, transcript_ENSUAMT00000006412, transcript_ENSUAMT00000012418
OG0000044	ENST00000400113.7, ENST00000312988.8, ENST00000321253.6	transcript_ENSUAMT00000009746
OG0000045	ENST00000248072.3	transcript_ENSUAMT00000016840, transcript_ENSUAMT00000006266, transcript_ENSUAMT00000016660, transcript_ENSUAMT00000001948, transcript_ENSUAMT00000004297, transcript_ENSUAMT00000005162, transcript_ENSUAMT00000013874, transcript_ENSUAMT00000006201, transcript_ENSUAMT00000034360, transcript_ENSUAMT00000021812, transcript_ENSUAMT00000019132, transcript_ENSUAMT00000005157, transcript_ENSUAMT00000003615, transcript_ENSUAMT00000005572, transcript_ENSUAMT00000013552, transcript_ENSUAMT00000023334, transcript_ENSUAMT00000016371
OG0000045	ENST00000248058.1, ENST00000327462.3, ENST00000594432.1	transcript_ENSUAMT00000003723, transcript_ENSUAMT00000004735, transcript_ENSUAMT00000001694, transcript_ENSUAMT00000005161, transcript_ENSUAMT00000021650, transcript_ENSUAMT00000002960, transcript_ENSUAMT00000008148
OG0000046	ENST00000368167.7	transcript_ENSUAMT00000008167, transcript_ENSUAMT00000004191
OG0000046	ENST00000368168.3	transcript_ENSUAMT00000020542, transcript_ENSUAMT00000020662
OG0000046	ENST00000368170.7	transcript_ENSUAMT00000006924
OG0000047	ENST00000423932.4	transcript_ENSUAMT00000039096, transcript_ENSUAMT00000039097
OG0000047	ENST00000332217.5	transcript_ENSUAMT00000039091
OG0000047	ENST00000334857.3	transcript_ENSUAMT00000017982, transcript_ENSUAMT00000021390
OG0000049	ENST00000366473.3, ENST00000328570.4, ENST00000366475.1	transcript_ENSUAMT00000025850, transcript_ENSUAMT00000000525, transcript_ENSUAMT00000003984, transcript_ENSUAMT00000004629, transcript_ENSUAMT00000025851, transcript_ENSUAMT00000007668, transcript_ENSUAMT00000006993, transcript_ENSUAMT00000000884
OG0000050	ENST00000541538.1	transcript_ENSUAMT00000020423, transcript_ENSUAMT00000020422, transcript_ENSUAMT00000020424
OG0000051	ENST00000007735.3, ENST00000251646.7, ENST00000251645.2, ENST00000394001.1	transcript_ENSUAMT00000020214, transcript_ENSUAMT00000025410, transcript_ENSUAMT00000020228
OG0000051	ENST00000225899.3	transcript_ENSUAMT00000011062
OG0000051	ENST00000328119.10	transcript_ENSUAMT00000011072, transcript_ENSUAMT00000011075
OG0000051	ENST00000393989.1	transcript_ENSUAMT00000011070
OG0000052	ENST00000334181.4, ENST00000307658.11, ENST00000596400.1, ENST00000282282.3, ENST00000336128.11, ENST00000597658.1	transcript_ENSUAMT00000016286, transcript_ENSUAMT00000016287
OG0000052	ENST00000396154.6, ENST00000512439.6, ENST00000282308.3, ENST00000317178.9, ENST00000594684.1, ENST00000339656.7, ENST00000312026.5, ENST00000598031.1, ENST00000425570.7, ENST00000391701.1, ENST00000594901.1, ENST00000435989.6, ENST00000376233.7, ENST00000332854.10, ENST00000254166.3	transcript_ENSUAMT00000005366
OG0000053	ENST00000614012.4, ENST00000449934.6, ENST00000252229.6	transcript_ENSUAMT00000041055
OG0000053	ENST00000376630.4, ENST00000376828.6, ENST00000259951.11, ENST00000376806.9, ENST00000412585.6, ENST00000383329.7	transcript_ENSUAMT00000018313, transcript_ENSUAMT00000006208, transcript_ENSUAMT00000007056, transcript_ENSUAMT00000001119, transcript_ENSUAMT00000040106, transcript_ENSUAMT00000010788
OG0000054	ENST00000307360.5, ENST00000398631.2, ENST00000531613.1, ENST00000529310.5, ENST00000526136.1, ENST00000504120.3, ENST00000529859.1, ENST00000530339.1, ENST00000525929.1, ENST00000532602.1, ENST00000522353.2, ENST00000398640.6	transcript_ENSUAMT00000005902, transcript_ENSUAMT00000005888, transcript_ENSUAMT00000016583, transcript_ENSUAMT00000016613, transcript_ENSUAMT00000005892, transcript_ENSUAMT00000016571
OG0000055	ENST00000335302.5	transcript_ENSUAMT00000016713
OG0000055	ENST00000340750.1	transcript_ENSUAMT00000016711
OG0000055	ENST00000259357.3	transcript_ENSUAMT00000016730, transcript_ENSUAMT00000034492, transcript_ENSUAMT00000016708, transcript_ENSUAMT00000016718
OG0000056	ENST00000317121.4	transcript_ENSUAMT00000012752, transcript_ENSUAMT00000003801, transcript_ENSUAMT00000006968, transcript_ENSUAMT00000006971, transcript_ENSUAMT00000014900
OG0000056	ENST00000316529.3	transcript_ENSUAMT00000024466
OG0000057	ENST00000304865.3	transcript_ENSUAMT00000016167, transcript_ENSUAMT00000020927, transcript_ENSUAMT00000019192
OG0000057	ENST00000373686.1	transcript_ENSUAMT00000005087
OG0000057	ENST00000304820.3	transcript_ENSUAMT00000038123, transcript_ENSUAMT00000038124
OG0000058	ENST00000380219.1	transcript_ENSUAMT00000037532, transcript_ENSUAMT00000000913, transcript_ENSUAMT00000004730
OG0000058	ENST00000300773.3	transcript_ENSUAMT00000000860
OG0000058	ENST00000624187.1	transcript_ENSUAMT00000000876
OG0000058	ENST00000380224.1	transcript_ENSUAMT00000000901
OG0000059	ENST00000398696.3	transcript_ENSUAMT00000031432, transcript_ENSUAMT00000008118, transcript_ENSUAMT00000006515
OG0000060	ENST00000359350.4	transcript_ENSUAMT00000003886, transcript_ENSUAMT00000007447
OG0000060	ENST00000380371.1, ENST00000380373.3	transcript_ENSUAMT00000007440, transcript_ENSUAMT00000006912, transcript_ENSUAMT00000020176, transcript_ENSUAMT00000020178
OG0000061	ENST00000358120.2	transcript_ENSUAMT00000005070, transcript_ENSUAMT00000003664, transcript_ENSUAMT00000008155, transcript_ENSUAMT00000005198, transcript_ENSUAMT00000002114, transcript_ENSUAMT00000006840, transcript_ENSUAMT00000004102, transcript_ENSUAMT00000000610, transcript_ENSUAMT00000002730, transcript_ENSUAMT00000006726, transcript_ENSUAMT00000035163, transcript_ENSUAMT00000015954, transcript_ENSUAMT00000001960, transcript_ENSUAMT00000001235, transcript_ENSUAMT00000006437, transcript_ENSUAMT00000003954, transcript_ENSUAMT00000006777, transcript_ENSUAMT00000026925, transcript_ENSUAMT00000006906, transcript_ENSUAMT00000026926, transcript_ENSUAMT00000006904
OG0000062	ENST00000322653.5	transcript_ENSUAMT00000004965, transcript_ENSUAMT00000005167, transcript_ENSUAMT00000004971, transcript_ENSUAMT00000004849, transcript_ENSUAMT00000010703, transcript_ENSUAMT00000001799, transcript_ENSUAMT00000001553, transcript_ENSUAMT00000004739, transcript_ENSUAMT00000003763, transcript_ENSUAMT00000001564, transcript_ENSUAMT00000001808, transcript_ENSUAMT00000002332
OG0000063	ENST00000390441.2, ENST00000390431.3	transcript_ENSUAMT00000006233, transcript_ENSUAMT00000005692, transcript_ENSUAMT00000004748, transcript_ENSUAMT00000003509, transcript_ENSUAMT00000020945, transcript_ENSUAMT00000006662
OG0000065	ENST00000633222.1	transcript_ENSUAMT00000004807
OG0000065	ENST00000382545.4	transcript_ENSUAMT00000035166
OG0000065	ENST00000369769.3	transcript_ENSUAMT00000004804
OG0000065	ENST00000252321.4	transcript_ENSUAMT00000026826
OG0000065	ENST00000221444.1	transcript_ENSUAMT00000014841
OG0000065	ENST00000280684.3	transcript_ENSUAMT00000035168
OG0000066	ENST00000375820.8	transcript_ENSUAMT00000022546
OG0000066	ENST00000328300.10	transcript_ENSUAMT00000003833
OG0000066	ENST00000396578.7	transcript_ENSUAMT00000003011
OG0000066	ENST00000396625.3	transcript_ENSUAMT00000032674
OG0000066	ENST00000394872.6	transcript_ENSUAMT00000029149
OG0000066	ENST00000360467.5	transcript_ENSUAMT00000013294
OG0000067	ENST00000216181.9	transcript_ENSUAMT00000031915
OG0000067	ENST00000396324.7	transcript_ENSUAMT00000021981
OG0000067	ENST00000360416.7	transcript_ENSUAMT00000033162
OG0000067	ENST00000601313.5	transcript_ENSUAMT00000026643
OG0000068	ENST00000378981.7, ENST00000378982.3, ENST00000378988.4	transcript_ENSUAMT00000002268, transcript_ENSUAMT00000002290
OG0000068	ENST00000400004.6	transcript_ENSUAMT00000030262
OG0000068	ENST00000325250.1	transcript_ENSUAMT00000032890
OG0000068	ENST00000356790.2	transcript_ENSUAMT00000031529
OG0000069	ENST00000504543.1, ENST00000511681.1, ENST00000515574.1, ENST00000621388.1, ENST00000610514.1, ENST00000621472.1, ENST00000622713.1, ENST00000613757.1, ENST00000613973.1, ENST00000619296.1, ENST00000421288.3, ENST00000614762.1, ENST00000616303.1, ENST00000622009.1, ENST00000615989.1, ENST00000621432.2, ENST00000506619.2, ENST00000415041.1, ENST00000507227.1, ENST00000504104.1, ENST00000526929.1, ENST00000527080.1, ENST00000529559.1, ENST00000530484.1, ENST00000333796.3, ENST00000530447.4	transcript_ENSUAMT00000023503
OG0000071	ENST00000366480.4	transcript_ENSUAMT00000034545, transcript_ENSUAMT00000027459, transcript_ENSUAMT00000006272, transcript_ENSUAMT00000001514, transcript_ENSUAMT00000003273, transcript_ENSUAMT00000003131, transcript_ENSUAMT00000014570, transcript_ENSUAMT00000003199, transcript_ENSUAMT00000006086
OG0000072	ENST00000305377.5	transcript_ENSUAMT00000031565, transcript_ENSUAMT00000031564, transcript_ENSUAMT00000004416, transcript_ENSUAMT00000031570, transcript_ENSUAMT00000031566, transcript_ENSUAMT00000031558, transcript_ENSUAMT00000031560, transcript_ENSUAMT00000031568
OG0000073	ENST00000568934.1	transcript_ENSUAMT00000018297, transcript_ENSUAMT00000006389, transcript_ENSUAMT00000006396, transcript_ENSUAMT00000018296, transcript_ENSUAMT00000006391, transcript_ENSUAMT00000018299
OG0000074	ENST00000623845.1	transcript_ENSUAMT00000035074, transcript_ENSUAMT00000035073, transcript_ENSUAMT00000035072
OG0000074	ENST00000313447.1	transcript_ENSUAMT00000035075, transcript_ENSUAMT00000035077
OG0000078	ENST00000300127.2	transcript_ENSUAMT00000027768
